DateTime,MODIS_filename,MODIS_SST,MODIS_pix,L8_filename,L8_SST,L8_pix,time_dif
2021-10-18 14:51:52,20211018141501-JPL-L2P_GHRSST-SSTskin-MODIS_T-N-v02.0-fv01.0,,0,LC08_L1GT_001112_20211018_20211026_02_T2_145152_Cel.tif,,0,0 days 00:36:51
2022-01-22 14:51:37,20220122123501-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,,0,LC08_L1GT_001112_20220122_20220128_02_T2_145137_Cel.tif,,0,0 days 00:41:36
2022-12-24 14:51:49,20221224151500-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,,0,LC08_L1GT_001112_20221224_20230103_02_T2_145149_Cel.tif,,0,0 days 00:23:11
2021-09-23 14:57:55,20210923142000-JPL-L2P_GHRSST-SSTskin-MODIS_T-N-v02.0-fv01.0,,0,LC08_L1GT_002112_20210923_20210930_02_T2_145755_Cel.tif,,0,0 days 00:37:55
2021-11-10 14:58:00,20211110142001-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,-1.8294008987290518,2100,LC08_L1GT_002112_20211110_20211117_02_T2_145800_Cel.tif,-2.861220656738331,2100,0 days 00:37:59
2021-11-26 14:57:58,20211126142001-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,,0,LC08_L1GT_002112_20211126_20211201_02_T2_145758_Cel.tif,,0,0 days 00:37:57
2021-12-28 14:57:53,20211228141500-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,0.08323487858519737,80925,LC08_L1GT_002112_20211228_20220105_02_T2_145753_Cel.tif,-0.516962278702964,80925,0 days 00:57:07
2022-02-14 14:57:41,20220214124001-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,-1.013649506433292,174344,LC08_L1GT_002112_20220214_20220222_02_T2_145741_Cel.tif,-2.333033203151009,174344,0 days 00:42:41
2022-11-29 14:58:11,20221129143000-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,-1.58418975329447,122466,LC08_L1GT_002112_20221129_20221206_02_T2_145811_Cel.tif,-2.5724692134979796,122466,0 days 00:28:11
2023-02-01 14:58:00,20230201141001-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,0.6630681996674385,309334,LC08_L1GT_002112_20230201_20230209_02_T2_145800_Cel.tif,-0.22841956518568932,309334,0 days 00:47:59
2023-02-17 14:57:50,20230217120501-JPL-L2P_GHRSST-SSTskin-MODIS_T-N-v02.0-fv01.0,-1.1995531273790128,180094,LC08_L1GT_002112_20230217_20230223_02_T2_145750_Cel.tif,-2.673335628219841,180094,0 days 00:22:11
2023-04-06 14:57:17,20230406135001-JPL-L2P_GHRSST-SSTskin-MODIS_T-N-v02.0-fv01.0,,0,LC08_L1GT_002112_20230406_20230412_02_T2_145717_Cel.tif,,0,0 days 00:27:44
2021-09-14 15:04:05,20210914142500-JPL-L2P_GHRSST-SSTskin-MODIS_T-N-v02.0-fv01.0,,0,LC08_L1GT_003112_20210914_20210924_02_T2_150405_Cel.tif,,0,0 days 00:39:05
2021-09-30 15:04:09,20210930142501-JPL-L2P_GHRSST-SSTskin-MODIS_T-N-v02.0-fv01.0,,0,LC08_L1GT_003112_20210930_20211013_02_T2_150409_Cel.tif,,0,0 days 00:39:08
2021-10-16 15:04:13,20211016142500-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,,0,LC08_L1GT_003112_20211016_20211026_02_T2_150413_Cel.tif,,0,0 days 00:39:13
2021-11-17 15:04:07,20211117142501-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,-1.8811857899574385,365,LC08_L1GT_003112_20211117_20211125_02_T2_150407_Cel.tif,-3.1539092168769227,365,0 days 00:39:06
2021-12-03 15:04:09,20211203093501-JPL-L2P_GHRSST-SSTskin-MODIS_T-N-v02.0-fv01.0,-1.7099847625056743,44381,LC08_L1GT_003112_20211203_20211209_02_T2_150409_Cel.tif,-3.4516998349960915,44381,0 days 00:39:09
2021-12-19 15:04:07,20211219142501-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,-1.392789697822758,14794,LC08_L1GT_003112_20211219_20211223_02_T2_150407_Cel.tif,-2.3717892060005847,14794,0 days 00:39:06
2022-01-04 15:04:02,20220104142501-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,-1.168432277008142,179,LC08_L1GT_003112_20220104_20220113_02_T2_150402_Cel.tif,-3.662858551186871,179,0 days 00:39:01
2022-01-20 15:03:59,20220120142500-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,-1.7889292573492992,3501,LC08_L1GT_003112_20220120_20220127_02_T2_150359_Cel.tif,-2.5149608068061684,3501,0 days 00:38:59
2022-03-25 15:03:36,20220325124501-JPL-L2P_GHRSST-SSTskin-MODIS_T-N-v02.0-fv01.0,,0,LC08_L1GT_003112_20220325_20220329_02_T2_150336_Cel.tif,,0,0 days 00:43:35
2022-12-06 15:04:21,20221206142000-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,-1.6557625329438683,2564,LC08_L1GT_003112_20221206_20221212_02_T2_150421_Cel.tif,-2.9634891508417307,2564,0 days 00:44:21
2023-01-07 15:04:12,20230107115501-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,0.18217856549374895,310092,LC08_L1GT_003112_20230107_20230107_02_T2_150412_Cel.tif,-0.6043895067985171,310092,0 days 00:04:11
2023-01-07 15:04:12,20230107115501-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,0.18217856549374895,310092,LC08_L1GT_003112_20230107_20230111_02_T2_150412_Cel.tif,-0.5570245040027098,310092,0 days 00:04:11
2023-01-23 15:04:09,20230123161000-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,0.5004175474147182,237516,LC08_L1GT_003112_20230123_20230207_02_T2_150409_Cel.tif,-0.3457387228224712,237516,0 days 01:05:51
2023-03-12 15:03:46,20230312144001-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,,0,LC08_L1GT_003112_20230312_20230321_02_T2_150346_Cel.tif,,0,0 days 00:23:45
2021-12-26 15:10:15,20211226143001-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,,0,LC08_L1GT_004112_20211226_20220105_02_T2_151015_Cel.tif,,0,0 days 00:40:14
2022-01-11 15:10:12,20220111143000-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,-1.680846228310556,8250,LC08_L1GT_004112_20220111_20220122_02_T2_151012_Cel.tif,-5.977340627579025,8250,0 days 00:40:12
2022-01-27 15:10:07,20220127094000-JPL-L2P_GHRSST-SSTskin-MODIS_T-N-v02.0-fv01.0,,0,LC08_L1GT_004112_20220127_20220204_02_T2_151007_Cel.tif,,0,0 days 00:40:06
2022-11-11 15:10:34,20221111120000-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,,0,LC08_L1GT_004112_20221111_20221121_02_T2_151034_Cel.tif,,0,0 days 00:00:33
2023-01-14 15:10:18,20230114145501-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,,0,LC08_L1GT_004112_20230114_20230130_02_T2_151018_Cel.tif,,0,0 days 00:15:17
2023-01-30 15:10:21,20230130142501-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,0.5979357978939558,299680,LC08_L1GT_004112_20230130_20230208_02_T2_151021_Cel.tif,-0.3239677356208202,299680,0 days 00:45:20
